NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230101;0.0;1;2.7;1;;;19.5;1;;;;;11.1;1;16.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230102;2.2;1;4.0;1;;;12.5;1;;;;;8.3;1;8.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230103;1.1;1;3.0;1;;;9.5;1;;;;;6.3;1;6.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230104;0.0;1;-3.0;1;;;9.5;1;;;;;3.3;1;12.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230105;0.0;1;-2.5;1;;;10.5;1;;;;;4.0;1;13.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230106;0.0;1;-3.0;1;;;11.0;1;;;;;4.0;1;14.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230107;0.0;1;-2.5;1;;;12.0;1;;;;;4.8;1;14.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230108;7.2;1;0.5;1;;;9.0;1;;;;;4.8;1;8.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230109;11.8;1;0.5;1;;;2.5;1;;;;;1.5;1;2.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 09023002;ASCOU LAVAIL;42.723833;1.895167;1100;20230110;0.0;1;-2.5;1;;;8.5;1;;;;;3.0;1;11.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
